LAD19CD,ethnicity,population,proportion
E07000064,Mixed/multiple ethnic group,1031.0,0.0113811983927231
E07000064,Other ethnic group,198.0,0.00218571996290899
E07000064,White,87951.0,0.970890184130348
E07000065,Asian/Asian British,1719.0,0.0115434979686398
E07000065,Black/African/Caribbean/Black British,343.0,0.00230332740153779
E07000065,Mixed/multiple ethnic group,1428.0,0.00958936305946345
E07000065,Other ethnic group,252.0,0.00169224053990532
E07000065,White,145173.0,0.974871571030454
E07000066,Asian/Asian British,4766.0,0.0273127904777733
E07000066,Black/African/Caribbean/Black British,4685.0,0.0268485991163172
E07000066,Mixed/multiple ethnic group,2887.0,0.0165446970435022
E07000066,Other ethnic group,482.0,0.00276222513854106
E07000066,White,161677.0,0.926531688223866
E07000067,Asian/Asian British,1998.0,0.0135840744064616
E07000067,Black/African/Caribbean/Black British,913.0,0.00620733730385358
E07000067,Mixed/multiple ethnic group,1837.0,0.0124894618041391
E07000067,Other ethnic group,249.0,0.00169291017377825
E07000067,White,142087.0,0.966026216311767
E07000068,Asian/Asian British,2350.0,0.0319289140093205
E07000068,Black/African/Caribbean/Black British,896.0,0.0121737476392984
E07000068,Mixed/multiple ethnic group,1196.0,0.0162497792149563
E07000068,Other ethnic group,291.0,0.0039537506283882
E07000068,White,68868.0,0.935693808508037
E07000069,Asian/Asian British,1012.0,0.011498562679665
E07000069,Black/African/Caribbean/Black British,661.0,0.00751042483325948
E07000069,Mixed/multiple ethnic group,911.0,0.0103509788549159
E07000069,Other ethnic group,154.0,0.00174978127734033
E07000069,White,85273.0,0.968890252354819
E07000070,Asian/Asian British,4962.0,0.029481314241578
E07000070,Black/African/Caribbean/Black British,2051.0,0.0121858475432238
E07000070,Mixed/multiple ethnic group,2646.0,0.0157209910284594
E07000070,Other ethnic group,668.0,0.00396886697165944
E07000070,White,157983.0,0.938642980215079
E07000071,Asian/Asian British,6355.0,0.0367183979107203
E07000071,Black/African/Caribbean/Black British,2575.0,0.0148780290511573
E07000071,Mixed/multiple ethnic group,3152.0,0.0182118631336885
E07000071,Other ethnic group,1686.0,0.00974149785640824
E07000071,White,159306.0,0.920450212048026
E07000072,Asian/Asian British,5922.0,0.0475055952638799
E07000072,Black/African/Caribbean/Black British,2404.0,0.0192846084117472
E07000072,Mixed/multiple ethnic group,2649.0,0.0212499699179361
E07000072,Other ethnic group,815.0,0.00653783521446506
